1, 0.264078 0.780994 0.454808 1;
2, 0.230929 0.421878 0.362486 1;
3, 0.313802 0.620773 0.440995 1;
4, 0.512697 0.073812 1.006575 1;
5, 0.346951 0.211934 0.785801 1;
6, 0.650819 0.189834 0.39337 1;
7, 0.816564 0.34453 0.282873 1;
8, 0.838664 0.720221 0.675139 1;
9, 0.733692 0.510276 0.360221 1;
10, 0.601095 0.902541 0.80221 1;
11, 0.562421 0.95779 1.078453 1;
12, 0.645294 0.95779 1.039779 1;
13, 0.700542 0.681547 0.2 1;
14, 0.58452 0.725746 0.2 1;
15, 0.722642 0.792044 0.2 1;
16, 0.479548 0.526851 0.327072 1;
